"Event Id","Weeks","Day","Time","Finish","Length","Module","Mod","Details","Site","Room"
"14525816","14/09/26","Mon","09:00","10:00","01:00","I01281","P3488FTC | MN MENTAL HEALTH NURSING (Full Time) | Year 1 | Teaching Block 1","L4 & L7 - Welcome to the University, Welcome","1.01","St. Michael's Building"
"14525816","14/09/26","Mon","09:00","10:00","01:00","I01280","P3489FTC | MN ADULT NURSING (Full Time) | Year 1 | Teaching Block 1","L4 & L7 - Welcome to the University, Welcome","1.01","St. Michael's Building"
"14525816","14/09/26","Mon","09:00","10:00","01:00","I00246","U2663FTC | BN (HONS) NURSING (ADULT) (Full Time) | Year 1 | Teaching Block 1","L4 & L7 - Welcome to the University, Welcome","1.01","St. Michael's Building"
"14525816","14/09/26","Mon","09:00","10:00","01:00","I00249","U2898FTC | BN (HONS) NURSING (MENTAL HEALTH) (Full Time) | Year 1 | Teaching Block 1","L4 & L7 - Welcome to the University, Welcome","1.01","St. Michael's Building"
"14525817","14/09/26","Mon","10:00","11:00","01:00","I00402","U2545FTC | BSC (HONS) OPERATING DEPARTMENT PRACTICE (Full Time) | Year 1 | Teaching Block 1","L4 - Welcome & Introduction, Dr J Oakley, Head of School & Chris Wells Programme Lead HCPC Rads, ODP and Para - AHP Talk","1.74","Portland Building"
"14525817","14/09/26","Mon","10:00","11:00","01:00","I00360","U2718FTC | BSC (HONS) DIAGNOSTIC RADIOGRAPHY AND MEDICAL IMAGING (Full Time) | Year 1 | Teaching Block 2","L4 - Welcome & Introduction, Dr J Oakley, Head of School & Chris Wells Programme Lead HCPC Rads, ODP and Para - AHP Talk","1.74","Portland Building"
"14525817","14/09/26","Mon","10:00","11:00","01:00","I00360","U2718FTC | BSC (HONS) DIAGNOSTIC RADIOGRAPHY AND MEDICAL IMAGING (Full Time) | Year 1 | Teaching Block 1","L4 - Welcome & Introduction, Dr J Oakley, Head of School & Chris Wells Programme Lead HCPC Rads, ODP and Para - AHP Talk","1.74","Portland Building"
"14525817","14/09/26","Mon","10:00","11:00","01:00","I00408","U2513FTC | BSC (HONS) PARAMEDIC SCIENCE (Full Time) | Year 1 | Teaching Block 1","L4 - Welcome & Introduction, Dr J Oakley, Head of School & Chris Wells Programme Lead HCPC Rads, ODP and Para - AHP Talk","1.74","Portland Building"
"14525818","15/09/26","Tue","11:30","13:00","01:30","I00249","U2898FTC | BN (HONS) NURSING (MENTAL HEALTH) (Full Time) | Year 1 | Teaching Block 1","L4 - What is a Tutor?, Opportunity to Meet Tutors","2.08","Anglesea Building"
"14525818","15/09/26","Tue","11:30","13:00","01:30","I00246","U2663FTC | BN (HONS) NURSING (ADULT) (Full Time) | Year 1 | Teaching Block 1","L4 - What is a Tutor?, Opportunity to Meet Tutors","2.08","Anglesea Building"
"14525819","14/09/26","Mon","11:00","13:00","02:00","I00360","U2718FTC | BSC (HONS) DIAGNOSTIC RADIOGRAPHY AND MEDICAL IMAGING (Full Time) | Year 1 | Teaching Block 1","L4 - CSTF Talk + 10 min Welcome from Para, ODP and Rad Team CLs, Occ Health with FPO INTRO/TALK - Carla Seath","1.74","Portland Building"
"14525819","14/09/26","Mon","11:00","13:00","02:00","I00360","U2718FTC | BSC (HONS) DIAGNOSTIC RADIOGRAPHY AND MEDICAL IMAGING (Full Time) | Year 1 | Teaching Block 2","L4 - CSTF Talk + 10 min Welcome from Para, ODP and Rad Team CLs, Occ Health with FPO INTRO/TALK - Carla Seath","1.74","Portland Building"
"14525819","14/09/26","Mon","11:00","13:00","02:00","I00408","U2513FTC | BSC (HONS) PARAMEDIC SCIENCE (Full Time) | Year 1 | Teaching Block 1","L4 - CSTF Talk + 10 min Welcome from Para, ODP and Rad Team CLs, Occ Health with FPO INTRO/TALK - Carla Seath","1.74","Portland Building"
